index,distance
0,18
1,18
2,18
3,18
4,24
5,24
6,18
7,18
8,18
9,18
10,8
11,8
12,8
13,8
14,8
15,8
16,24
17,24
18,24
19,24
20,10
21,10
22,10
23,10
24,18
25,18
26,18
27,18
28,8
29,8
30,8
31,8
32,8
33,8
34,12
35,12
36,12
37,20
38,20
39,20
40,12
41,12
42,18
43,18
44,18
45,18
46,14
47,14
48,14
49,14
50,18
51,18
52,18
53,18
54,18
55,18
56,18
57,18
58,18
59,18
60,8
61,8
62,8
63,8
64,8
65,8
66,12
67,12
68,14
69,14
70,14
71,14
72,24
73,24
74,24
75,24
76,12
77,12
78,12
79,12
80,12
81,12
82,12
83,12
84,12
85,18
86,18
87,18
88,18
89,24
90,24
91,24
92,24
93,12
94,12
95,12
96,12
97,12
98,12
99,12
100,12
101,20
102,20
103,20
104,20
105,12
106,12
107,12
108,12
109,12
110,12
111,12
112,12
113,20
114,20
115,20
116,20
117,14
118,14
119,14
120,14
121,18
122,18
123,18
124,18
125,20
126,18
127,12
128,12
129,12
130,22
131,22
132,20
133,22
134,14
135,14
136,14
137,14
138,12
139,12
140,16
141,16
142,16
143,16
144,16
145,18
146,20
147,18
148,18
149,18
150,20
151,18
152,18
153,16
154,16
155,18
156,18
157,20
158,18
159,18
160,18
161,18
162,18
163,18
164,22
165,22
166,18
167,16
168,16
169,18
170,18
171,20
172,18
173,20
174,18
175,18
176,18
177,20
178,18
179,18
180,18
181,18
182,18
183,18
184,20
185,18
186,20
187,18
188,18
189,16
190,16
191,16
192,18
193,18
194,18
195,20
196,18
197,18
198,20
199,18
200,20
201,18
202,18
203,18
204,18
205,18
206,18
207,18
208,18
209,18
210,18
211,20
212,18
213,18
214,18
215,20
216,20
217,20
218,18
219,18
220,18
221,18
222,18
223,20
224,18
225,18
226,18
227,20
228,18
229,20
230,18
231,18
232,20
233,18
234,18
235,20
236,18
237,18
238,18
239,18
240,20
241,18
242,18
243,18
244,18
245,22
246,22
247,16
248,16
249,16
250,16
251,16
252,16
253,18
254,20
255,18
256,20
257,18
258,18
259,20
260,18
261,18
262,18
263,18
264,20
265,18
266,18
267,18
268,18
269,18
270,20
271,16
272,16
273,16
274,16
275,16
276,16
277,16
278,16
279,16
280,16
281,18
282,20
283,20
284,18
285,18
286,18
287,20
288,20
289,18
290,18
291,18
292,22
293,18
294,18
295,18
296,18
297,20
298,18
299,18
300,18
301,20
302,18
303,20
304,18
305,18
306,18
307,18
308,20
309,20
310,18
311,18
312,22
313,18
314,18
315,18
316,18
317,18
318,18
319,18
320,18
321,18
322,18
323,16
324,18
325,18
326,20
327,20
328,18
329,18
330,18
331,18
332,18
333,22
334,18
335,18
336,20
337,20
338,22
339,18
340,16
341,16
342,16
343,16
344,20
345,18
346,18
347,18
348,18
349,18
350,18
351,20
352,18
353,18
354,16
355,16
356,16
357,18
358,18
359,18
360,18
361,18
362,18
363,18
364,18
365,18
366,18
367,18
368,18
369,18
370,18
371,20
372,18
373,18
374,18
375,18
376,18
377,18
378,18
379,16
380,16
381,16
382,16
383,18
384,20
385,18
386,18
387,18
388,18
389,16
390,16
391,16
392,16
393,16
394,16
395,18
396,18
397,20
398,18
399,18
400,10
401,10
402,10
403,10
404,10
405,10
406,10
407,10
408,10
409,10
410,10
411,10
412,10
413,10
414,10
415,10
416,10
417,10
418,10
419,10
420,10
421,10
422,10
423,10
424,10
425,10
426,10
427,10
428,10
429,10
430,10
431,20
432,18
433,20
434,18
435,18
436,20
437,20
438,18
439,18
440,20
441,18
442,18
443,18
444,20
445,18
446,18
447,18
448,18
449,20
450,18
451,18
452,12
453,12
454,20
455,20
456,20
457,20
458,24
459,26
460,26
461,24
462,12
463,12
464,16
465,18
466,18
467,18
468,18
469,12
470,12
471,12
472,12
473,12
474,12
475,18
476,18
477,18
478,18
479,24
480,24
481,24
482,24
483,20
484,20
485,20
486,20
487,22
488,20
489,20
490,18
491,18
492,18
493,12
494,12
495,12
496,12
497,12
498,12
499,12
500,12
501,12
502,12
503,12
504,12
505,12
506,12
507,12
508,18
509,20
510,18
511,24
512,24
513,24
514,24
515,24
516,24
517,20
518,20
519,22
520,20
521,12
522,12
523,12
524,12
525,12
526,12
527,20
528,20
529,20
530,20
531,22
532,20
533,20
534,20
535,16
536,18
537,18
538,18
539,18
540,20
541,22
542,22
543,20
544,22
545,20
546,22
547,12
548,12
549,12
550,12
551,12
552,12
553,12
554,12
555,12
556,12
557,20
558,18
559,18
560,20
561,10
562,10
563,10
564,10
565,10
566,10
567,10
568,10
569,16
570,16
571,16
572,16
573,16
574,16
575,16
576,18
577,18
578,20
579,16
580,16
581,16
582,16
583,16
584,18
585,18
586,18
587,18
588,18
589,18
590,20
591,18
592,18
593,20
594,20
595,18
596,18
597,16
598,16
599,16
600,18
601,18
602,20
603,20
604,18
605,18
606,18
607,20
608,18
609,18
610,18
611,18
612,18
613,18
614,18
615,18
616,20
617,18
618,18
619,22
620,18
621,22
622,22
623,18
624,18
625,18
626,20
627,16
628,16
629,16
630,18
631,20
632,18
633,18
634,20
635,18
636,18
637,18
638,18
639,20
640,18
641,20
642,18
643,18
644,16
645,16
646,16
647,18
648,18
649,18
650,18
651,18
652,18
653,18
654,18
655,18
656,18
657,18
658,18
659,18
660,18
661,20
662,20
663,18
664,18
665,22
666,18
667,18
668,18
669,18
670,18
671,20
672,20
673,18
674,18
675,18
676,18
677,18
678,18
679,20
680,18
681,18
682,18
683,20
684,20
685,18
686,20
687,18
688,18
689,18
690,18
691,18
692,20
693,18
694,18
695,22
696,18
697,18
698,22
699,18
700,20
701,20
702,16
703,16
704,16
705,16
706,18
707,18
708,18
709,18
710,18
711,20
712,18
713,20
714,18
715,18
716,20
717,20
718,18
719,18
720,18
721,18
722,18
723,18
724,18
725,18
726,18
727,22
728,16
729,16
730,16
731,16
732,16
733,16
734,16
735,16
736,16
737,16
738,18
739,18
740,18
741,18
742,18
743,18
744,18
745,18
746,20
747,18
748,18
749,18
750,18
751,18
752,18
753,18
754,20
755,18
756,18
757,18
758,18
759,20
760,18
761,18
762,18
763,20
764,20
765,18
766,18
767,20
768,20
769,18
770,18
771,18
772,16
773,16
774,16
775,16
776,16
777,16
778,16
779,16
780,16
781,18
782,18
783,18
784,18
785,18
786,20
787,20
788,16
789,16
790,16
791,16
792,10
793,10
794,10
795,10
796,10
797,10
798,10
799,10
800,18
801,20
802,18
803,18
804,20
805,18
806,12
807,12
808,12
809,14
810,14
811,14
812,14
813,10
814,10
815,10
816,10
817,24
818,24
819,18
820,18
821,12
822,12
823,12
824,12
825,12
826,12
827,12
828,22
829,20
830,20
831,22
832,12
833,12
834,12
835,12
836,12
837,12
838,20
839,20
840,20
841,20
842,24
843,22
844,18
845,18
846,18
847,18
848,20
849,20
850,24
851,24
852,26
853,12
854,12
855,20
856,20
857,20
858,20
859,18
860,18
