t,m,l,a1,a2,a3,b1,b2,b3,emb_m,emb_l,aa,bb,p_phys,p_mask,no_test,no_success,p_log,min,adv,k
10,6,30,9,2,1,3,19,2,6,30,3,2,0.005,0.1333333333333333,10001,9980,0.997900209979002,46,0.796700370778843,12
10,6,30,27,5,4,3,14,1,6,30,2,5,0.005,0.1333333333333333,10001,9979,0.9978002199780022,46,0.7973268003441097,12
10,6,30,9,2,1,3,19,2,6,30,2,3,0.005,0.1,10001,9979,0.9978002199780022,46,0.8440454191247704,12
10,6,30,9,2,1,3,19,2,6,30,3,3,0.005,0.1,10001,9977,0.9976002399760024,46,0.8435411768590427,12
10,6,30,27,5,4,3,14,1,6,30,3,5,0.005,0.1333333333333333,10001,9973,0.9972002799720028,46,0.7967003707788425,12
10,6,30,21,1,2,3,1,8,6,30,2,2,0.005,0.1333333333333333,10001,9973,0.9972002799720028,46,0.7967003707788436,12
10,6,30,27,5,4,3,14,1,6,30,3,4,0.005,0.1,10001,9973,0.9972002799720028,46,0.8435411768590418,12
10,6,30,21,1,2,3,1,8,6,30,3,3,0.005,0.1,10001,9973,0.9972002799720028,46,0.84404541912477,12
10,6,30,21,1,2,3,1,8,6,30,2,3,0.005,0.1,10001,9972,0.9971002899710028,46,0.8435411768590422,12
10,6,30,27,5,4,3,14,1,6,30,2,4,0.005,0.1,10001,9972,0.9971002899710028,46,0.8440454191247695,12
10,6,30,21,1,2,3,1,8,6,30,3,2,0.005,0.1333333333333333,10001,9959,0.9958004199580042,46,0.797326800344111,12
10,6,30,9,2,1,3,19,2,6,30,2,2,0.005,0.1333333333333333,10001,9956,0.9955004499550044,46,0.7973268003441102,12
10,6,30,27,5,4,3,29,28,6,30,2,1,0.005,0.1,10001,9810,0.9809019098090191,22,0.5983388736689147,12
10,6,30,21,1,2,3,13,26,6,30,2,2,0.005,0.1,10001,9799,0.9798020197980202,22,0.592000979396152,12
10,6,30,21,1,2,3,13,26,6,30,3,2,0.005,0.1,10001,9788,0.9787021297870212,22,0.5983388736689145,12
10,6,30,27,1,2,3,1,2,6,30,2,2,0.005,0.1,10001,9785,0.9784021597840216,22,0.5920009793961526,12
10,6,30,9,5,4,3,4,17,6,30,2,3,0.005,0.1,10001,9777,0.9776022397760225,22,0.5920009793961529,12
10,6,30,27,5,4,3,29,28,6,30,3,1,0.005,0.1,10001,9776,0.9775022497750224,22,0.5920009793961526,12
10,6,30,15,4,5,2,21,17,6,30,4,5,0.005,0.1,10001,9774,0.9773022697730228,46,0.838934936333695,12
10,6,30,15,1,2,5,26,3,6,30,0,0,0.005,0.1,10001,9774,0.9773022697730228,64,0.8425716023172519,12
10,6,30,15,4,5,1,11,18,6,30,2,0,0.005,0.1,10001,9770,0.9769023097690231,64,0.8426620235470591,16
10,6,30,15,2,1,1,18,16,6,30,4,5,0.005,0.1,10001,9769,0.9768023197680232,46,0.8395063173302744,12
10,6,30,9,5,4,3,4,17,6,30,3,3,0.005,0.1,10001,9764,0.9763023697630236,22,0.5983388736689149,12
