r,5
s,4
n,60
m1,24
m2,30
0,1,2,3,6,
2,4,5,7,11,
0,8,10,12,17,
5,8,9,13,18,
1,14,16,19,27,
10,14,15,20,28,
3,21,25,29,39,
4,22,26,30,40,
16,21,23,31,41,
6,22,24,32,42,
7,27,33,37,43,
9,34,38,44,51,
24,25,35,38,45,
15,26,33,46,52,
11,29,34,36,53,
12,39,47,50,54,
13,20,31,40,45,
36,37,48,49,50,
18,23,43,47,56,
17,32,46,49,51,
19,42,48,55,57,
28,35,54,55,58,
30,41,53,57,59,
44,52,56,58,59,
0,2,5,8,
0,1,10,14,
1,3,16,21,
2,4,6,22,
3,6,24,25,
4,7,26,33,
5,9,11,34,
7,11,36,37,
8,12,18,47,
9,13,38,45,
10,15,17,46,
12,17,49,50,
13,18,23,31,
14,19,28,55,
15,20,26,40,
16,23,27,43,
19,27,37,48,
20,28,35,45,
21,29,41,53,
22,30,42,57,
24,32,38,51,
25,35,39,54,
29,36,39,50,
30,31,40,41,
32,42,48,49,
33,43,52,56,
34,44,53,59,
44,46,51,52,
47,54,56,58,
55,57,58,59,
