r,4
s,5
n,300
m1,150
m2,120
0,1,2,3,
2,4,5,6,
0,7,9,11,
5,8,10,12,
1,13,16,18,
9,14,17,19,
7,10,15,20,
3,21,25,28,
4,22,26,29,
16,23,27,30,
13,17,24,31,
6,32,37,40,
8,33,38,41,
22,25,34,42,
26,35,39,43,
21,27,36,44,
11,45,53,59,
12,46,54,60,
14,47,55,61,
15,48,56,62,
33,37,49,63,
20,50,57,64,
38,51,58,65,
32,39,52,66,
18,67,78,85,
19,68,79,86,
23,69,80,87,
24,70,81,88,
47,53,71,89,
48,54,72,90,
31,73,82,91,
55,74,83,92,
56,75,84,93,
45,57,76,94,
46,58,77,95,
28,96,111,121,
29,97,112,122,
30,98,113,123,
34,99,114,124,
35,100,115,125,
36,101,116,126,
69,78,102,127,
70,79,103,128,
44,104,117,129,
42,105,118,130,
80,106,119,131,
81,107,120,132,
67,82,108,133,
68,83,109,134,
50,84,110,135,
40,85,136,154,
41,137,155,165,
43,138,156,166,
49,139,157,167,
51,140,158,168,
52,141,159,169,
99,111,142,170,
100,112,143,171,
101,113,144,172,
66,145,160,173,
63,146,161,174,
114,147,162,175,
106,115,148,163,
116,149,164,176,
96,117,150,177,
97,118,151,178,
98,119,152,179,
73,120,153,168,
59,121,180,206,
60,122,181,207,
61,182,208,226,
62,86,183,209,
64,165,184,210,
65,185,211,227,
71,186,212,228,
72,187,213,229,
74,188,214,230,
75,189,215,231,
76,190,216,232,
77,191,217,233,
139,154,192,234,
140,155,193,235,
103,141,156,236,
94,194,218,237,
95,107,195,219,
89,196,220,238,
90,197,221,239,
92,157,222,240,
135,147,198,223,
148,158,199,224,
132,159,200,225,
136,160,201,241,
137,161,172,202,
105,162,203,231,
138,163,204,242,
104,164,205,230,
87,197,204,268,
88,123,243,257,
91,226,235,262,
93,244,263,273,
102,241,255,274,
108,245,264,275,
109,167,227,276,
110,246,265,277,
186,206,247,278,
187,207,248,279,
188,208,249,280,
189,209,250,281,
144,190,210,282,
142,191,211,283,
133,192,246,263,
134,149,250,251,
127,233,239,284,
128,252,266,285,
131,212,254,267,
129,213,268,280,
198,214,253,269,
199,215,254,270,
173,176,216,271,
175,217,255,272,
180,218,256,283,
181,219,257,286,
178,182,220,248,
183,221,236,258,
146,152,222,228,
184,223,259,287,
185,224,251,260,
145,205,225,261,
124,166,252,259,
125,194,260,271,
126,130,281,288,
143,179,286,291,
150,229,273,293,
151,245,262,289,
153,244,270,290,
177,200,247,290,
170,276,285,294,
171,237,264,277,
195,253,261,272,
240,265,269,291,
243,266,282,292,
196,203,267,274,
169,174,278,295,
193,242,249,287,
201,232,238,297,
202,288,289,296,
234,293,294,298,
256,275,284,299,
258,295,296,299,
279,292,297,298,
0,2,5,7,10,
0,1,9,13,17,
1,3,16,21,27,
2,3,4,22,25,
4,6,26,32,39,
5,6,8,33,37,
7,11,20,45,57,
8,12,38,46,58,
9,11,14,47,53,
10,12,15,48,54,
13,18,31,67,82,
14,19,55,68,83,
15,20,50,56,84,
16,18,23,69,78,
17,19,24,70,79,
21,28,44,96,117,
22,29,42,97,118,
23,30,80,98,119,
24,31,73,81,120,
25,28,34,99,111,
26,29,35,100,112,
27,30,36,101,113,
32,40,66,136,160,
33,41,63,137,161,
34,42,105,114,162,
35,43,115,138,163,
36,44,104,116,164,
37,40,49,139,154,
38,41,51,140,155,
39,43,52,141,156,
45,59,94,180,218,
46,60,95,181,219,
47,61,89,182,220,
48,62,90,183,221,
49,63,146,157,222,
50,64,135,184,223,
51,65,158,185,224,
52,66,145,159,225,
53,59,71,186,206,
54,60,72,187,207,
55,61,74,188,208,
56,62,75,189,209,
57,64,76,190,210,
58,65,77,191,211,
67,85,133,154,192,
68,86,134,209,250,
69,87,127,197,239,
70,88,128,243,266,
71,89,196,212,267,
72,90,197,213,268,
73,91,140,168,235,
74,92,214,240,269,
75,93,215,244,270,
76,94,194,216,271,
77,95,195,217,272,
78,85,102,136,241,
79,86,103,183,236,
80,87,106,163,204,
81,88,107,219,257,
82,91,108,245,262,
83,92,109,157,167,
84,93,110,246,263,
96,121,177,206,247,
97,122,178,207,248,
98,123,179,257,286,
99,124,170,252,285,
100,125,171,194,237,
101,126,172,202,288,
102,127,217,233,255,
103,128,156,166,252,
104,129,188,230,280,
105,130,189,231,281,
106,131,148,199,254,
107,132,195,225,261,
108,133,246,264,277,
109,134,185,227,251,
110,135,198,265,269,
111,121,142,180,283,
112,122,143,181,286,
113,123,144,243,282,
114,124,147,223,259,
115,125,148,224,260,
116,126,149,250,281,
117,129,150,213,229,
118,130,151,288,289,
119,131,152,212,228,
120,132,153,200,290,
137,144,165,172,210,
138,166,242,259,287,
139,167,234,276,294,
141,169,236,258,295,
142,170,211,227,276,
143,171,265,277,291,
145,164,173,176,205,
146,174,186,228,278,
147,175,198,253,272,
149,176,251,260,271,
150,177,244,273,290,
151,178,182,226,262,
152,179,222,240,291,
153,158,168,199,270,
155,165,184,193,287,
159,169,200,247,278,
160,173,201,216,232,
161,174,202,295,296,
162,175,203,255,274,
187,229,279,293,298,
190,232,282,292,297,
191,233,256,283,284,
192,234,263,273,293,
193,208,226,235,249,
196,201,238,241,274,
203,215,231,254,267,
204,242,249,268,280,
205,214,230,253,261,
218,237,256,264,275,
220,238,248,279,297,
221,239,258,284,299,
245,275,289,296,299,
266,285,292,294,298,
