index,distance
0,10
1,10
2,10
3,10
4,8
5,8
6,8
7,8
8,8
9,8
10,8
11,8
12,8
13,8
14,8
15,8
16,8
17,8
18,10
19,10
20,10
21,10
22,6
23,6
24,6
25,6
26,6
27,6
28,6
29,6
30,8
31,8
32,8
33,8
34,6
35,6
36,6
37,6
38,6
39,6
40,6
41,6
42,6
43,6
44,6
45,6
46,6
47,6
48,6
49,6
50,6
51,6
52,6
53,6
54,6
55,6
56,6
57,6
58,6
59,6
60,6
61,6
62,6
63,6
64,6
65,6
66,8
67,8
68,8
69,8
70,8
71,8
72,8
73,8
74,10
75,10
76,10
77,10
78,6
79,6
80,6
81,6
82,6
83,6
84,6
85,6
86,6
87,6
88,10
89,10
90,10
91,10
92,8
93,8
94,8
95,8
96,10
97,10
98,10
99,10
100,10
101,10
102,10
103,10
104,10
105,10
106,10
107,10
108,10
109,10
110,10
111,10
112,6
113,10
114,10
115,10
116,10
117,10
118,10
119,10
120,10
121,6
122,6
123,6
124,6
125,6
126,6
127,6
128,6
129,10
130,10
131,10
132,10
133,8
134,8
135,8
136,8
137,10
138,10
139,10
140,10
141,8
142,8
143,8
144,8
145,8
146,8
147,8
148,8
149,8
150,8
151,8
152,8
153,8
154,6
155,6
156,6
157,6
158,6
159,6
160,6
161,6
162,10
163,10
164,10
165,10
166,8
167,8
168,8
169,8
170,8
171,8
172,8
173,8
174,8
175,8
176,10
177,10
178,10
179,10
180,8
181,8
182,8
183,8
184,8
185,8
186,6
187,8
188,8
189,8
190,8
191,8
192,8
193,8
194,8
195,8
196,8
197,8
198,8
199,8
200,8
201,10
202,10
203,10
204,10
205,10
206,10
207,10
208,10
209,8
210,8
211,8
212,8
213,10
214,10
215,10
216,10
217,10
218,10
219,10
220,10
221,10
222,10
223,10
224,10
225,10
226,10
227,10
228,8
229,8
230,8
231,8
232,8
233,8
234,6
235,6
236,6
237,6
238,6
239,6
240,6
241,6
242,6
243,6
244,6
245,6
246,6
247,6
248,6
249,6
250,6
251,6
252,6
253,8
254,8
255,8
256,8
257,8
258,8
259,8
260,8
261,8
262,8
263,8
264,8
265,8
266,8
267,8
268,8
269,8
270,6
271,6
272,6
273,6
274,6
275,6
276,6
277,6
278,8
279,8
280,8
281,8
282,8
283,8
284,8
285,8
286,10
287,10
288,10
289,10
290,6
291,6
292,8
293,8
294,8
295,8
296,8
297,8
298,8
299,10
300,10
301,10
302,10
303,6
304,10
305,10
306,10
307,10
308,8
309,8
310,8
311,8
312,8
