t,m,ell,a1,a2,a3,b1,b2,b3,emb_m,emb_ell,aa,bb,p_phys,p_mask,no_test,no_success,p_log,d,k,adv
10,6,30,1,0,5,3,29,4,6,30,2,0,0.005,0.1666666666666666,11002,10665,0.969369205598982,18,8,0.5260163514849562
10,6,30,1,0,5,3,29,4,6,30,2,1,0.005,0.1666666666666666,11002,10677,0.9704599163788402,18,8,0.5204978183965898
10,6,30,1,0,5,3,29,4,6,30,3,0,0.005,0.1666666666666666,11002,10626,0.9658243955644428,18,8,0.5219167884323747
10,6,30,1,0,5,3,29,4,6,30,3,1,0.005,0.1666666666666666,11002,10605,0.963915651699691,18,8,0.516181647277047
10,6,30,1,2,3,3,2,25,30,6,0,4,0.005,0.2,10001,9476,0.9475052494750524,24,8,0.4819509150645393
10,6,30,1,2,3,3,2,25,30,6,1,5,0.005,0.2,10001,9471,0.947005299470053,24,8,0.48560605324087086
10,6,30,1,2,3,3,26,25,6,30,2,2,0.005,0.1666666666666666,10001,9677,0.9676032396760323,18,8,0.5219167884323747
10,6,30,1,2,3,3,26,25,6,30,2,3,0.005,0.1666666666666666,10001,9659,0.9658034196580342,18,8,0.516181647277047
10,6,30,1,2,3,3,26,25,6,30,3,2,0.005,0.1666666666666666,10001,9670,0.9669033096690332,18,8,0.5260163514849562
10,6,30,1,2,3,3,26,25,6,30,3,3,0.005,0.1666666666666666,10001,9682,0.968103189681032,18,8,0.5204978183965898
10,6,30,1,3,2,3,2,1,6,30,2,2,0.005,0.0666666666666666,10001,9627,0.9626037396260374,8,8,0.6874549275985918
10,6,30,1,3,2,3,2,1,6,30,2,4,0.005,0.0666666666666666,10001,9600,0.95990400959904,8,8,0.661121200186621
10,6,30,1,3,2,3,2,1,6,30,2,5,0.005,0.0666666666666666,10001,9588,0.9587041295870412,8,8,0.6609259511630587
10,6,30,1,3,2,3,2,1,6,30,3,2,0.005,0.0666666666666666,10001,9587,0.9586041395860414,8,8,0.6693623021015831
10,6,30,1,3,2,3,2,1,6,30,3,4,0.005,0.0666666666666666,10001,9558,0.9557044295570444,8,8,0.6599667185170153
10,6,30,1,3,2,3,2,1,6,30,3,5,0.005,0.0666666666666666,10001,9588,0.9587041295870412,8,8,0.6594497626821125
10,6,30,1,3,4,5,6,29,6,30,2,4,0.005,0.2333333333333333,10001,9578,0.9577042295770424,24,8,0.4928246862939499
10,6,30,1,3,4,5,6,29,6,30,2,5,0.005,0.2333333333333333,10001,9591,0.959004099590041,24,8,0.48590264928363236
10,6,30,1,3,4,5,6,29,6,30,3,4,0.005,0.2333333333333333,10001,9599,0.9598040195980402,24,8,0.48675135350389326
10,6,30,1,3,4,5,6,29,6,30,3,5,0.005,0.2333333333333333,10001,9549,0.9548045195480452,24,8,0.47988876142791626
10,6,30,11,0,5,1,22,3,6,30,2,3,0.005,0.1,10001,9604,0.9603039696030397,10,8,0.5539450161233233
10,6,30,11,0,5,1,22,3,6,30,3,3,0.005,0.1,10001,9578,0.9577042295770424,10,8,0.5795573440394245
10,6,30,11,1,0,1,6,11,30,6,1,2,0.005,0.2,10001,9455,0.9454054594540546,10,8,0.49241941285800067
10,6,30,11,1,0,1,6,11,6,30,2,4,0.005,0.2,10001,9446,0.9445055494450556,10,8,0.4939389251536844
10,6,30,11,1,0,3,14,19,6,30,2,4,0.005,0.1666666666666666,10001,9682,0.968103189681032,18,8,0.5219167884323734
10,6,30,11,1,0,3,14,19,6,30,2,5,0.005,0.1666666666666666,10001,9686,0.9685031496850316,18,8,0.5161816472770457
10,6,30,11,1,0,3,14,19,6,30,3,4,0.005,0.1666666666666666,10001,9688,0.9687031296870312,18,8,0.5260163514849554
10,6,30,11,1,0,3,14,19,6,30,3,5,0.005,0.1666666666666666,10001,9722,0.972102789721028,18,8,0.520497818396589
10,6,30,11,5,0,3,8,19,6,30,2,2,0.005,0.0666666666666666,10001,9572,0.9571042895710428,8,8,0.6599667185170153
10,6,30,11,5,0,3,8,19,6,30,2,3,0.005,0.0666666666666666,10001,9572,0.9571042895710428,8,8,0.6594497626821124
10,6,30,11,5,0,3,8,19,6,30,2,4,0.005,0.0666666666666666,10001,9599,0.9598040195980402,8,8,0.6693623021015829
10,6,30,11,5,0,3,8,19,6,30,3,2,0.005,0.0666666666666666,10001,9541,0.954004599540046,8,8,0.6611212001866209
10,6,30,11,5,0,3,8,19,6,30,3,3,0.005,0.0666666666666666,10001,9599,0.9598040195980402,8,8,0.6609259511630586
10,6,30,11,5,0,3,8,19,6,30,3,4,0.005,0.0666666666666666,10001,9535,0.9534046595340466,8,8,0.6874549275985918
10,6,30,12,2,1,3,17,25,30,6,4,4,0.005,0.2,10001,9550,0.954904509549045,12,8,0.5115838976235246
10,6,30,12,2,1,3,17,25,30,6,4,5,0.005,0.2,10001,9516,0.9515048495150484,12,8,0.5096740310196173
10,6,30,12,2,1,3,17,25,6,30,3,1,0.005,0.2,10001,9489,0.9488051194880512,12,8,0.5115838976235247
10,6,30,12,2,1,3,25,26,30,6,4,0,0.005,0.1666666666666666,10001,9556,0.9555044495550444,20,8,0.49308031357343457
10,6,30,12,2,1,3,25,26,30,6,4,1,0.005,0.1666666666666666,10001,9550,0.954904509549045,20,8,0.49273162795560527
10,6,30,12,2,1,3,25,26,30,6,5,0,0.005,0.1666666666666666,10001,9566,0.9565043495650436,20,8,0.4948282657348156
10,6,30,12,4,5,0,5,7,30,6,4,0,0.005,0.2,10001,9501,0.95000499950005,12,8,0.5115838976235245
10,6,30,12,4,5,0,5,7,30,6,4,1,0.005,0.2,10001,9494,0.9493050694930508,12,8,0.5096740310196173
10,6,30,13,0,5,3,22,17,6,30,2,4,0.005,0.1666666666666666,10001,9681,0.968003199680032,18,8,0.5260163514849555
10,6,30,13,0,5,3,22,17,6,30,2,5,0.005,0.1666666666666666,10001,9691,0.969003099690031,18,8,0.5204978183965892
10,6,30,13,0,5,3,22,17,6,30,3,4,0.005,0.1666666666666666,10001,9657,0.9656034396560343,18,8,0.5219167884323734
10,6,30,13,0,5,3,22,17,6,30,3,5,0.005,0.1666666666666666,10001,9676,0.9675032496750324,18,8,0.5161816472770457
10,6,30,17,1,0,5,9,22,6,30,2,2,0.005,0.1333333333333333,10001,9573,0.9572042795720428,14,8,0.5283420153524477
10,6,30,17,1,0,5,9,22,6,30,2,3,0.005,0.1333333333333333,10001,9568,0.9567043295670432,14,8,0.5241064025536231
10,6,30,17,1,0,5,9,22,6,30,3,2,0.005,0.1333333333333333,10001,9529,0.9528047195280472,14,8,0.5108008778145899
10,6,30,17,1,0,5,9,22,6,30,3,3,0.005,0.1333333333333333,10001,9530,0.952904709529047,14,8,0.5062435552434137
10,6,30,17,3,2,1,18,13,6,30,2,4,0.005,0.2,10001,9645,0.9644035596440356,18,8,0.530606500561325
10,6,30,17,3,2,1,18,13,6,30,3,4,0.005,0.2,10001,9621,0.962003799620038,18,8,0.5309558786412142
10,6,30,17,3,2,3,5,22,6,30,2,2,0.005,0.1666666666666666,10001,9685,0.9684031596840316,18,8,0.5204978183965888
10,6,30,17,3,2,3,5,22,6,30,2,3,0.005,0.1666666666666666,10001,9672,0.9671032896710328,18,8,0.5260163514849553
10,6,30,17,3,2,3,5,22,6,30,3,2,0.005,0.1666666666666666,10001,9666,0.9665033496650336,18,8,0.5161816472770455
10,6,30,17,3,2,3,5,22,6,30,3,3,0.005,0.1666666666666666,10001,9602,0.96010398960104,18,8,0.5219167884323733
10,6,30,17,3,4,3,22,5,6,30,2,2,0.005,0.1666666666666666,10001,9681,0.968003199680032,18,8,0.5260163514849553
10,6,30,17,3,4,3,22,5,6,30,2,3,0.005,0.1666666666666666,10001,9695,0.9694030596940306,18,8,0.5204978183965888
10,6,30,17,3,4,3,22,5,6,30,3,2,0.005,0.1666666666666666,10001,9684,0.9683031696830317,18,8,0.5219167884323733
10,6,30,17,3,4,3,22,5,6,30,3,3,0.005,0.1666666666666666,10001,9684,0.9683031696830317,18,8,0.5161816472770455
10,6,30,17,4,3,3,4,17,6,30,2,2,0.005,0.0666666666666666,10001,9553,0.9552044795520448,8,8,0.6693623021015829
10,6,30,17,4,3,3,4,17,6,30,2,4,0.005,0.0666666666666666,10001,9613,0.9612038796120388,8,8,0.6599667185170157
10,6,30,17,4,3,3,4,17,6,30,2,5,0.005,0.0666666666666666,10001,9590,0.958904109589041,8,8,0.6594497626821129
10,6,30,17,4,3,3,4,17,6,30,3,2,0.005,0.0666666666666666,10001,9584,0.9583041695830417,8,8,0.6874549275985918
10,6,30,17,4,3,3,4,17,6,30,3,4,0.005,0.0666666666666666,10001,9599,0.9598040195980402,8,8,0.6611212001866211
10,6,30,17,4,3,3,4,17,6,30,3,5,0.005,0.0666666666666666,10001,9618,0.9617038296170384,8,8,0.6609259511630589
10,6,30,18,2,1,0,13,5,30,6,4,4,0.005,0.2,10001,9507,0.9506049395060494,12,8,0.5115838976235245
10,6,30,18,2,1,0,13,5,30,6,4,5,0.005,0.2,10001,9534,0.9533046695330468,12,8,0.5096740310196173
10,6,30,18,5,4,3,13,17,6,30,2,4,0.005,0.2,10001,9621,0.962003799620038,14,8,0.513291843190709
10,6,30,18,5,4,3,13,17,6,30,2,5,0.005,0.2333333333333333,10001,9590,0.958904109589041,14,8,0.46579171490418314
10,6,30,18,5,4,3,13,17,6,30,3,4,0.005,0.2,10001,9638,0.9637036296370364,14,8,0.5116635612157228
10,6,30,18,5,4,3,13,17,6,30,3,5,0.005,0.2333333333333333,10001,9572,0.9571042895710428,14,8,0.46419866143410177
10,6,30,19,2,3,1,24,11,6,30,2,4,0.005,0.2333333333333333,10001,9591,0.959004099590041,24,8,0.4867513535038938
10,6,30,19,2,3,1,24,11,6,30,2,5,0.005,0.2333333333333333,10001,9599,0.9598040195980402,24,8,0.4798887614279168
10,6,30,19,2,3,1,24,11,6,30,3,4,0.005,0.2333333333333333,10001,9561,0.956004399560044,24,8,0.4928246862939503
10,6,30,19,2,3,1,24,11,6,30,3,5,0.005,0.2333333333333333,10001,9595,0.9594040595940406,24,8,0.48590264928363286
10,6,30,21,1,2,0,17,4,6,30,2,0,0.005,0.1333333333333333,10001,9721,0.972002799720028,12,8,0.5016022900611332
10,6,30,21,1,2,0,17,4,6,30,2,1,0.005,0.1,10001,9780,0.977902209779022,12,8,0.581277394888562
10,6,30,21,1,2,0,17,4,6,30,2,3,0.005,0.1333333333333333,10001,9709,0.9708029197080292,12,8,0.5467545669744187
10,6,30,21,1,2,0,17,4,6,30,3,0,0.005,0.1333333333333333,10001,9695,0.9694030596940306,12,8,0.5005973453059414
10,6,30,21,1,2,0,17,4,6,30,3,1,0.005,0.1,10001,9775,0.9774022597740226,12,8,0.5802248404212437
10,6,30,21,1,2,0,17,4,6,30,3,3,0.005,0.1333333333333333,10001,9703,0.9702029797020298,12,8,0.5440919730908229
10,6,30,21,1,2,3,1,5,30,6,4,4,0.005,0.2,10001,9538,0.9537046295370464,12,8,0.5117565164045235
10,6,30,21,1,2,3,1,5,30,6,4,5,0.005,0.2,10001,9513,0.9512048795120488,12,8,0.5106521894310339
10,6,30,21,1,2,3,1,5,30,6,5,5,0.005,0.2333333333333333,10001,9391,0.939006099390061,12,8,0.45961285256864004
10,6,30,21,1,2,5,6,25,30,6,4,4,0.005,0.1666666666666666,10001,9653,0.9652034796520348,18,8,0.5260163514849553
10,6,30,21,1,2,5,6,25,30,6,4,5,0.005,0.1666666666666666,10001,9630,0.962903709629037,18,8,0.5219167884323733
10,6,30,21,1,2,5,6,25,30,6,5,4,0.005,0.1666666666666666,10001,9629,0.9628037196280372,18,8,0.5204978183965888
10,6,30,21,1,2,5,6,25,30,6,5,5,0.005,0.1666666666666666,10001,9633,0.9632036796320368,18,8,0.5161816472770457
10,6,30,21,2,1,5,18,25,6,30,2,2,0.005,0.2,10001,9515,0.9514048595140486,24,8,0.4854600916696323
10,6,30,21,2,1,5,18,25,6,30,2,3,0.005,0.2,10001,9532,0.9531046895310468,24,8,0.48560605324087114
10,6,30,21,2,1,5,18,25,6,30,3,2,0.005,0.2,10001,9555,0.9554044595540446,24,8,0.48195091506453946
10,6,30,21,2,1,5,18,25,6,30,3,3,0.005,0.2,10001,9544,0.9543045695430457,24,8,0.48203222446529087
